英文,中文,詞性
abandon,遺棄；中止,v
abbey,修道院,n
abbreviation,縮略語,n
abide,遵守,v
ability,能力；才能,n
able,能；有能力的,adj
abnormal,反常的,adj
aboard,在(船、飛機、車)上,adv
abolish,廢除,v
abolition,廢除,n
aboriginal,原住民的,adj
aborigine,土著居民,n
abortion,墮胎,n
about,關於,adv
above,在…上面；優於，勝過,adv adj
abroad,去(到)國外,adv
abrupt,突然的；魯莽的,adj
absence,缺席；缺少,n
absent,缺席的,adj
absolute,完全的；絕對的,adj
absorb,吸收；理解,v
absorbing,極有趣的,adj
abstract,抽象的,adj
abstraction,心不在焉／抽象概念,n
absurd,荒唐的,adj
abundance,豐富,n
academic,學院的；學術的,adj
acceleration,加速,n
accept,接受,v n
acceptable,可以接受的,adj
acceptance,接受,n
accessible,易接近的,adj
accessory,附件,n
accident,事故,n
accidental,偶然的；意外的,adj
acclaim,歡呼；歡呼聲,v n
accommodation,住所,n
accompany,陪同,v
accomplish,完成,v
accomplished,有才藝的,adj
accomplishment,才藝；完成,n
accord,符合,n
accordingly,因此,adv
account,帳戶；描述,n
account,認為；解釋,v
accountable,負有責任的,adj
accountant,會計師,n
accounting,會計學,n
accumulate,積累,v
accumulation,累積,n
accuracy,正確(性),n
accurate,準確的,adj
accusation,控訴,n
accuse,把…歸咎(於)；指控,v
accustom,使習慣,v
ace,么點牌；能手,n
ache,疼痛,n
achieve,完成；達到,n
acoustic,聽覺的,adj
acquaintance,熟人,n
acquire,取得,v
acquisition,取得；獲得物,b
acre,英畝,b
acreage,英畝數,b
across,橫越,prep adv
act,行動；表演,n v
action,行動；作用,n
active,活躍的；積極的,adj
activity,活動；活動力,n
actor,男演員,n
actress,女演員,n
actual,實際的,adj
acute,敏銳的,adj
ad,廣告,n
adapt,使適應,v
adaptation,適應；改編(本,n
add,增加,v
addict,對～有癮的人,n
addiction,耽溺,n
addition,增加；附加,n
additional,附加的,adj
address,地址；致詞,n v
adequately,充分地,adv
adjoin,毗連,v
adjust,調整,v
administrative,行政的,adj
administrator,行政官員,n
admirable,令人欽佩的,adj
admiral,海軍將官,n
admiration,欽佩,n
